# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05232e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.534167849263e-01       1.569714464420e+06       1.561643949051e+06      -1.540535913590e+00      -1.571856271279e+00       0.000000000000e+00       4.979426436581e+05 
       1.585509842383e-01       1.488828424893e+06       1.480459298078e+06      -1.367857738258e+00      -1.395668985813e+00       0.000000000000e+00       4.722490802973e+05 
       1.638552404579e-01       1.416112781047e+06       1.407749788640e+06      -1.218089909737e+00      -1.242856659801e+00       0.000000000000e+00       4.491643078343e+05 
       1.693358269748e-01       1.353461495545e+06       1.345466348595e+06      -1.089995751566e+00      -1.112159224301e+00       0.000000000000e+00       4.292923946100e+05 
       1.749990762963e-01       1.300600717176e+06       1.293288348855e+06      -9.809101856103e-01      -1.000853133438e+00       0.000000000000e+00       4.125441090360e+05 
       1.808513975878e-01       1.255058968932e+06       1.248604924822e+06      -8.863202979044e-01      -9.043409656285e-01       0.000000000000e+00       3.981280006723e+05 
       1.868992986880e-01       1.212987908395e+06       1.207375862368e+06      -8.019604816537e-01      -8.182692192460e-01       0.000000000000e+00       3.848129334217e+05 
       1.931494134598e-01       1.170048041548e+06       1.165077614055e+06      -7.244938140189e-01      -7.392247946445e-01       0.000000000000e+00       3.712122280960e+05 
       1.996085353358e-01       1.122893415952e+06       1.118252290149e+06      -6.511331082207e-01      -6.643707158262e-01       0.000000000000e+00       3.562581590272e+05 
       2.062836579371e-01       1.070816857262e+06       1.066197453799e+06      -5.814408397029e-01      -5.932605102581e-01       0.000000000000e+00       3.397264513265e+05 
       2.131820236713e-01       1.016002848908e+06       1.011216639334e+06      -5.164494552334e-01      -5.269491925503e-01       0.000000000000e+00       3.223164470290e+05 
       2.203111812778e-01       9.622723753029e+05       9.573151889355e+05      -4.579599889107e-01      -4.672705762496e-01       0.000000000000e+00       3.052502287233e+05 
       2.276790533848e-01       9.133066863999e+05       9.083422665670e+05      -4.068021118890e-01      -4.150755333690e-01       0.000000000000e+00       2.897047117570e+05 
       2.352940152909e-01       8.711477620603e+05       8.664166827684e+05      -3.634458688686e-01      -3.708351254412e-01       0.000000000000e+00       2.763319288857e+05 
       2.431649864038e-01       8.355153349845e+05       8.312082659559e+05      -3.263324772774e-01      -3.329683125881e-01       0.000000000000e+00       2.650404584222e+05 
       2.513015360745e-01       8.034907454843e+05       7.996523827378e+05      -2.938534514223e-01      -2.998287871230e-01       0.000000000000e+00       2.548965599197e+05 
       2.597140059874e-01       7.713035779657e+05       7.678191802227e+05      -2.641853517630e-01      -2.695561235173e-01       0.000000000000e+00       2.446954258889e+05 
       2.684136518347e-01       7.366688204443e+05       7.333425998270e+05      -2.362254888189e-01      -2.410279525926e-01       0.000000000000e+00       2.337076614795e+05 
       2.774128077603e-01       6.998264956311e+05       6.965048119578e+05      -2.100544557465e-01      -2.143253220867e-01       0.000000000000e+00       2.220115318710e+05 
       2.867250780638e-01       6.632955125951e+05       6.599550737176e+05      -1.863851828037e-01      -1.901743084990e-01       0.000000000000e+00       2.104131028879e+05 
       2.963655619767e-01       6.301536479650e+05       6.268948807025e+05      -1.657122206808e-01      -1.690815099732e-01       0.000000000000e+00       1.998955395337e+05 
       3.063511190840e-01       6.013729319822e+05       5.983255570326e+05      -1.480219057029e-01      -1.510312023616e-01       0.000000000000e+00       1.907688680183e+05 
       3.167006852993e-01       5.754447251983e+05       5.726604271612e+05      -1.325352897326e-01      -1.352298101816e-01       0.000000000000e+00       1.825503163826e+05 
       3.274356524458e-01       5.498575695432e+05       5.472768045256e+05      -1.184767502705e-01      -1.208854608907e-01       0.000000000000e+00       1.744371210452e+05 
       3.385803287497e-01       5.231108555031e+05       5.206280643414e+05      -1.054063476667e-01      -1.075494811709e-01       0.000000000000e+00       1.659506281890e+05 
       3.501625034006e-01       4.960989274884e+05       4.936609606594e+05      -9.346236949182e-02      -9.536256283340e-02       0.000000000000e+00       1.573773336305e+05 
       3.622141464536e-01       4.707050503486e+05       4.683470648529e+05      -8.287355525578e-02      -8.455847633310e-02       0.000000000000e+00       1.493194450523e+05 
       3.747722868132e-01       4.478488131264e+05       4.456355717965e+05      -7.363497386077e-02      -7.513242185299e-02       0.000000000000e+00       1.420703554144e+05 
       3.878801274623e-01       4.264184090633e+05       4.243627765725e+05      -6.545875107244e-02      -6.678984310330e-02       0.000000000000e+00       1.352745560769e+05 
       4.015884810507e-01       4.049824792586e+05       4.030375462649e+05      -5.801618636442e-02      -5.919557433179e-02       0.000000000000e+00       1.284747041349e+05 
       4.159576445139e-01       3.834759884789e+05       3.816024315999e+05      -5.119743912653e-02      -5.223834319981e-02       0.000000000000e+00       1.216505244968e+05 
       4.310598852886e-01       3.629269521787e+05       3.611375732109e+05      -4.512321048355e-02      -4.604052124923e-02       0.000000000000e+00       1.151309356569e+05 
       4.469827951756e-01       3.437057805007e+05       3.420283233651e+05      -3.973917858078e-02      -4.054711446816e-02       0.000000000000e+00       1.090342640108e+05 
       4.638339004445e-01       3.251437319946e+05       3.235700738517e+05      -3.490808051513e-02      -3.561785604410e-02       0.000000000000e+00       1.031464465564e+05 
       4.817471329638e-01       3.066375917013e+05       3.051430878521e+05      -3.052088731757e-02      -3.114141163962e-02       0.000000000000e+00       9.727517083317e+04 
       5.008921305886e-01       2.886277938123e+05       2.872150570208e+05      -2.656601270194e-02      -2.710627781000e-02       0.000000000000e+00       9.156159720305e+04 
       5.214879671174e-01       2.713725279714e+05       2.700523637680e+05      -2.304388795330e-02      -2.351252503308e-02       0.000000000000e+00       8.608809467401e+04 
       5.438240542354e-01       2.542867929036e+05       2.530491345454e+05      -1.986172666979e-02      -2.026553852583e-02       0.000000000000e+00       8.066791994251e+04 
       5.682931129480e-01       2.373825909428e+05       2.362241711409e+05      -1.697389897949e-02      -1.731909220823e-02       0.000000000000e+00       7.530521653797e+04 
       5.954453838500e-01       2.207326313249e+05       2.196583518452e+05      -1.437677335646e-02      -1.466914942939e-02       0.000000000000e+00       7.002346774564e+04 
       6.260822008501e-01       2.039853949484e+05       2.029912508149e+05      -1.201751551581e-02      -1.226191201619e-02       0.000000000000e+00       6.471064022488e+04 
       6.614270481980e-01       1.870749414877e+05       1.861640649392e+05      -9.874855470870e-03      -1.007567718563e-02       0.000000000000e+00       5.934614955744e+04 
       7.034600463648e-01       1.696595189289e+05       1.688330785356e+05      -7.917329009180e-03      -8.078340971807e-03       0.000000000000e+00       5.382140334407e+04 
       7.556241967480e-01       1.513860191535e+05       1.506488096231e+05      -6.122859601912e-03      -6.247377835409e-03       0.000000000000e+00       4.802447783207e+04 
       8.244368848707e-01       1.316416938057e+05       1.310006962621e+05      -4.473406252092e-03      -4.564365166311e-03       0.000000000000e+00       4.176095060869e+04 
       9.232979855892e-01       1.096321909279e+05       1.090984136026e+05      -2.970799847426e-03      -3.031198415554e-03       0.000000000000e+00       3.477883565731e+04 
       1.079573337062e+00       8.495887966718e+04       8.454525271251e+04      -1.683928306473e-03      -1.718163793178e-03       0.000000000000e+00       2.695167360045e+04 
       1.328431156086e+00       6.033962766833e+04       6.004583822295e+04      -7.898536117213e-04      -8.059117874543e-04       0.000000000000e+00       1.914165843656e+04 
       1.669577909086e+00       4.118907847724e+04       4.098846288376e+04      -3.413955466553e-04      -3.483353285344e-04       0.000000000000e+00       1.306648878165e+04 
       2.101820222810e+00       2.791191878446e+04       2.777587810989e+04      -1.459200729661e-04      -1.488873412457e-04       0.000000000000e+00       8.854545908841e+03 
       2.646034687783e+00       1.883494094473e+04       1.874302392173e+04      -6.215234761165e-05      -6.341575931259e-05       0.000000000000e+00       5.975034920750e+03 
       3.331160308832e+00       1.266281269229e+04       1.260088809794e+04      -2.635257210628e-05      -2.688847515425e-05       0.000000000000e+00       4.017035666893e+03 
       4.193682363549e+00       8.484088192573e+03       8.442456174821e+03      -1.114300094594e-05      -1.136955074722e-05       0.000000000000e+00       2.691408084096e+03 
       5.279533296465e+00       5.666926781598e+03       5.638966758606e+03      -4.694863255056e-06      -4.790336526330e-06       0.000000000000e+00       1.797712260426e+03 
       6.646538629333e+00       3.774423100570e+03       3.755638167463e+03      -1.973208187899e-06      -2.013329008721e-06       0.000000000000e+00       1.197347676317e+03 
       8.367496380939e+00       2.507467779746e+03       2.494816877508e+03      -8.268837185412e-07      -8.436993188892e-07       0.000000000000e+00       7.954272553856e+02 
       1.053405382706e+01       1.661805294883e+03       1.653240325200e+03      -3.457662316807e-07      -3.527970718845e-07       0.000000000000e+00       5.271545413354e+02 
       1.326158805209e+01       1.098935089357e+03       1.093081550190e+03      -1.442488764089e-07      -1.471818957206e-07       0.000000000000e+00       3.485926940231e+02 
       1.669535019953e+01       7.252326408220e+02       7.211712588518e+02      -6.004811903430e-08      -6.126903225079e-08       0.000000000000e+00       2.300409920849e+02 
       2.101820062499e+01       4.777064914015e+02       4.748241576417e+02      -2.494302367521e-08      -2.545018880399e-08       0.000000000000e+00       1.515165054908e+02 
       2.646034687698e+01       3.141001861287e+02       3.119892603509e+02      -1.034041155734e-08      -1.055065102222e-08       0.000000000000e+00       9.961412267630e+01 
       3.331160308832e+01       2.061727308196e+02       2.045629089622e+02      -4.277287468290e-09      -4.364250031682e-09       0.000000000000e+00       6.537488946853e+01 
       4.193682363549e+01       1.351071655396e+02       1.338197174085e+02      -1.764976380422e-09      -1.800861376933e-09       0.000000000000e+00       4.282946257426e+01 
       5.279533296465e+01       8.839015563327e+01       8.730740062141e+01      -7.263439936789e-10      -7.411103222989e-10       0.000000000000e+00       2.800821832486e+01 
       6.646538629333e+01       5.772746938487e+01       5.677245112389e+01      -2.979055934106e-10      -3.039603114425e-10       0.000000000000e+00       1.827997799301e+01 
       8.367496380939e+01       3.763123331648e+01       3.675429237554e+01      -1.216006273941e-10      -1.240714393686e-10       0.000000000000e+00       1.190384097496e+01 
       1.053405382706e+02       2.447694970732e+01       2.364704366000e+01      -4.931786018103e-11      -5.031936383485e-11       0.000000000000e+00       7.730048254486e+00 
